#,Name,Difficult,Priority,Status,Tags,link,source,Last edited time,Created time,practicedTimes,related
598,[lint] Zombie in Matrix,Medium,Medium,,"BFS, Matrix, mbfs_preChkVisited_wSz",https://www.lintcode.com/problem/zombie-in-matrix,"jiuzhang, 算初BFS","October 16, 2023 3:45 PM","July 26, 2022 5:37 PM",1,
604,[lint] Window Sum,Easy,Pass,,"Sliding Window, changeAffectIteration",https://www.lintcode.com/problem/window-sum,"jiuzhang, 算初TwoPointers","October 19, 2023 6:13 PM","August 3, 2022 1:37 PM",1,
609,[lint] Two Sum - Less than or equal to target,Medium,Pass,,2pt_DiffDir,https://www.lintcode.com/problem/two-sum-less-than-or-equal-to-target,"jiuzhang, 算初TwoPointers","October 19, 2023 5:54 PM","August 6, 2022 11:59 PM",1,
610,[lint] Two Sum - Difference equals to target,Medium,Medium,,2pt_SameDir_diffSpeed,https://www.lintcode.com/problem/two-sum-difference-equals-to-target,"jiuzhang, 算初TwoPointers","October 19, 2023 9:59 PM","August 6, 2022 11:59 PM",1,Count Number of Pairs With Absolute Difference K (LeetCode%2049e0dbff6672498c8c602b2f51ab5d85/Count%20Number%20of%20Pairs%20With%20Absolute%20Difference%20K%20bb6cda2bc23640ab8f2027f18bc6aa56.csv)
611,[lint] Knight Shortest Path,Medium,Low,,"BFS, Matrix, mbfs_preChkVisited_wSz",https://www.lintcode.com/problem/knight-shortest-path,"jiuzhang, 算初BFS","October 16, 2023 1:03 AM","July 26, 2022 5:37 PM",1,
611,Valid Triangle Number,Medium,High,,"2pt_DiffDir, Greedy, Math",https://leetcode.com/problems/valid-triangle-number/,"HuaHua, jiuzhang, 算初TwoPointers","October 19, 2023 10:30 PM","August 6, 2022 11:59 PM",1,
618,[lint] Search Graph Nodes,Medium,Low,,"BFS, Graph, gbfs_preChkVisited_woSz",https://www.lintcode.com/problem/search-graph-nodes,"jiuzhang, 算初BFS","October 16, 2023 1:02 AM","July 17, 2022 11:52 PM",1,
623,[lint] K Edit Distance,Hard,High,,"DFS, DP, StringMatchToMatrix, Trie",https://www.lintcode.com/problem/k-edit-distance/,"jiuzhang, 算高DP下","October 12, 2023 2:56 PM","September 15, 2022 8:24 PM",,
631,[lint] Maximal Square II,Medium,Low,,"DP, Matrix",https://www.lintcode.com/problem/maximal-square-ii/description,"jiuzhang, 算高DP上","October 29, 2023 10:49 PM","September 9, 2022 1:06 PM",1,
644,Maximum Average Subarray II,Hard,High,"Dig More, No Idea At First, toRevisit, toSummarize","BS_Val, Prefix, Sliding Window",https://leetcode.com/problems/maximum-average-subarray-ii/,"jiuzhang, 算高BS&SwipeLine","October 29, 2023 5:51 PM","September 9, 2022 10:47 AM",1,
654,Maximum Binary Tree,Medium,High,,"Divide and Conquer, Tree, monotonic, stack",https://leetcode.com/problems/maximum-binary-tree/,"HuaHua, jiuzhang, 算高Heap&Stack","October 28, 2023 2:35 PM","September 6, 2022 7:26 PM",1,
674,Longest Continuous Increasing Subsequence,Easy,Pass,,Array,https://leetcode.com/problems/longest-continuous-increasing-subsequence/,"HuaHua, jiuzhang, 算高DP上","October 29, 2023 10:30 PM","September 10, 2022 10:18 AM",1,
691,Stickers to Spell Word,Hard,High,Dig More,"dp-backpack, dp-bitMask, stateMachine",https://leetcode.com/problems/stickers-to-spell-word/,wp动归套路,"October 12, 2023 2:56 PM","January 10, 2023 3:05 PM",,
692,Top K Frequent Words,Medium,Low,,"Hash, PQ, TopK",https://leetcode.com/problems/top-k-frequent-words/,"HuaHua, jiuzhang, 算初Hash&Heap","October 20, 2023 7:37 PM","August 15, 2022 9:56 PM",1,
704,Binary Search,Easy,Pass,,BS_Idx,https://leetcode.com/problems/binary-search/,"HuaHua, jiuzhang, 算初BS","October 13, 2023 11:26 PM","June 24, 2022 6:17 PM",1,
712,Minimum ASCII Delete Sum for Two Strings,Medium,Low,,dp-TwoSeq,https://leetcode.com/problems/minimum-ascii-delete-sum-for-two-strings/,"HuaHua, leetcode_daily, wp动归套路","October 12, 2023 2:56 PM","November 21, 2022 12:20 AM",,Delete Operation for Two Strings (LeetCode%2049e0dbff6672498c8c602b2f51ab5d85/Delete%20Operation%20for%20Two%20Strings%207c71f3a27e594920b0e09f631632797d.csv)
715,Range Module,Hard,High,"Dig More, More Solution, No Idea At First, toSummarize","BS_lower_upper_bound, Hash, OrderMap, SegmentTree_idx",https://leetcode.com/problems/range-module/,"HuaHua, googleFreq","October 12, 2023 2:56 PM","October 6, 2022 12:46 AM",,
718,Maximum Length of Repeated Subarray,Medium,Pass,dup,"DP, StringMatchToMatrix",https://leetcode.com/problems/maximum-length-of-repeated-subarray/,"HuaHua, jiuzhang, 算高DP下","October 29, 2023 10:49 PM","September 15, 2022 8:22 PM",1,
727,Minimum Window Subsequence,Hard,High,Dig More,dp-TwoSeq,https://leetcode.com/problems/minimum-window-subsequence/,wp动归套路,"October 12, 2023 2:56 PM","November 20, 2022 11:27 PM",,
729,My Calendar I,Medium,Medium,,"BS_lower_upper_bound, Geometry, OrderMap",https://leetcode.com/problems/my-calendar-i/,"HuaHua, googleFreq","October 12, 2023 2:56 PM","October 24, 2022 1:40 AM",,
778,Swim in Rising Water,Hard,Medium,"More Solution, toSummarize","BFS, BS_todo, Graph, PQ",https://leetcode.com/problems/swim-in-rising-water/,"HuaHua, googleFreq","October 12, 2023 2:56 PM","October 6, 2022 1:23 PM",,
783,Minimum Distance Between BST Nodes,Easy,Pass,,"Iterate, Tree",https://leetcode.com/problems/minimum-distance-between-bst-nodes/,,"October 12, 2023 2:56 PM","February 17, 2023 12:41 AM",,
813,Largest Sum of Averages,Medium,Medium,,dp-K_Ranges,https://leetcode.com/problems/largest-sum-of-averages/,"HuaHua, wp动归套路","October 12, 2023 2:56 PM","December 1, 2022 4:13 PM",,
818,Race Car,Hard,Medium,More Solution,"BFS, DP, search",https://leetcode.com/problems/race-car/,"HuaHua, googleFreq","October 12, 2023 2:56 PM","September 30, 2022 11:55 PM",,
836,Rectangle Overlap,Easy,Low,,"Geometry, Math",https://leetcode.com/problems/rectangle-overlap/,googleFreq,"October 12, 2023 2:56 PM","October 10, 2022 9:52 PM",,
843,Guess the Word,Hard,Medium,"Dig More, No Idea At First, todo","Game, miniMax",https://leetcode.com/problems/guess-the-word/,googleFreq,"October 18, 2023 3:50 AM","October 3, 2022 11:09 PM",InProgress,
876,Middle of the Linked List,Easy,Medium,,2pt_SameDir_FastDoubleSpeed,https://leetcode.com/problems/middle-of-the-linked-list/,"googleFreq, jiuzhang, 算高TwoPointers&PQ","December 24, 2023 11:41 PM","August 22, 2022 12:54 AM",1,
877,Stone Game,Medium,Low,,"DP, Game, dp-Pyr",https://leetcode.com/problems/stone-game/,"jiuzhang, 算高DP下","October 12, 2023 2:56 PM","September 10, 2022 11:20 AM",,
879,Profitable Schemes,Hard,High,Dig More,dp-backpack,https://leetcode.com/problems/profitable-schemes/,"HuaHua, wp动归套路","October 12, 2023 2:56 PM","January 3, 2023 10:44 PM",,
900,RLE Iterator,Medium,Low,More Solution,"iterator, stack",https://leetcode.com/problems/rle-iterator/,googleFreq,"October 12, 2023 2:56 PM","October 30, 2022 1:21 PM",,
903,Valid Permutations for DI Sequence,Hard,High,"Dig More, No Idea At First","Permutation, dp-TimeSeqFromLastOne-Power",https://leetcode.com/problems/valid-permutations-for-di-sequence/,wp动归套路,"October 12, 2023 2:56 PM","January 27, 2023 4:08 PM",,
905,Sort Array By Parity,Easy,Low,,Partition,https://leetcode.com/problems/sort-array-by-parity/,"jiuzhang, 算初TwoPointers","October 19, 2023 9:30 PM","August 9, 2022 11:13 AM",1,
912,Sort an Array,Medium,Pass,,"Divide and Conquer, MergeSort, quickSort",https://leetcode.com/problems/sort-an-array/,"HuaHua, leetcode_daily","October 12, 2023 2:56 PM","May 11, 2023 10:53 PM",,
918,Maximum Sum Circular Subarray,Medium,Medium,,"Contribution>0, DP, Kadane, Prefix",https://leetcode.com/problems/maximum-sum-circular-subarray/,"HuaHua, LC_Top_Interview_150, jiuzhang, 算高FollowUp","November 1, 2023 8:19 PM","May 11, 2023 5:23 PM",1,
943,Find the Shortest Superstring,Hard,High,,"Graph, Permutation, TSP/HamiltonianPath, complete_graph, dp-bitMask, search",https://leetcode.com/problems/find-the-shortest-superstring/,"HuaHua, wp动归套路","October 12, 2023 2:56 PM","March 14, 2023 9:52 PM",,Number of Squareful Arrays (LeetCode%2049e0dbff6672498c8c602b2f51ab5d85/Number%20of%20Squareful%20Arrays%200de26cd61dca45819145a897da4cda1b.csv)
956,Tallest Billboard,Hard,High,Dig More,dp-backpack,https://leetcode.com/problems/tallest-billboard/,"HuaHua, wp动归套路","October 12, 2023 2:56 PM","January 9, 2023 10:54 PM",,Painting the Walls (LeetCode%2049e0dbff6672498c8c602b2f51ab5d85/Painting%20the%20Walls%204b6e131cda2142f28962adfa49d05bed.csv)
973,K Closest Points to Origin,Medium,Pass,,"Geometry, PQ, TopK",https://leetcode.com/problems/k-closest-points-to-origin/,"HuaHua, jiuzhang, 算初Hash&Heap","October 21, 2023 1:42 PM","August 15, 2022 1:06 PM",1,
983,Minimum Cost For Tickets,Medium,Medium,,dp-TimeSeqFromLastOne-Power,https://leetcode.com/problems/minimum-cost-for-tickets/,wp动归套路,"October 12, 2023 2:56 PM","January 27, 2023 6:27 PM",,
987,Vertical Order Traversal of a Binary Tree,Hard,High,HardToImplement,"BFS, DFS, Hash, Tree",https://leetcode.com/problems/vertical-order-traversal-of-a-binary-tree/,"HuaHua, googleFreq","October 12, 2023 2:56 PM","October 22, 2022 11:41 PM",,
1000,Minimum Cost to Merge Stones,Hard,High,Dig More,"dp-K_Ranges, dp-Pyr",https://leetcode.com/problems/minimum-cost-to-merge-stones/,"HuaHua, wp动归套路","October 12, 2023 2:56 PM","December 20, 2022 9:56 PM",,
1035,Uncrossed Lines,Medium,Medium,dup,dp-TwoSeq,https://leetcode.com/problems/uncrossed-lines/,wp动归套路,"October 12, 2023 2:56 PM","November 21, 2022 12:23 AM",,
1048,Longest String Chain,Medium,Medium,"Dig More, More Solution",DP,https://leetcode.com/problems/longest-string-chain/,googleFreq,"October 12, 2023 2:56 PM","October 24, 2022 2:21 AM",,Longest Increasing Subsequence (LeetCode%2049e0dbff6672498c8c602b2f51ab5d85/Longest%20Increasing%20Subsequence%20dbe9919e92d04b90928f4e005fc84e25.csv)
1049,Last Stone Weight II,Medium,Medium,dup,dp-backpack,https://leetcode.com/problems/last-stone-weight-ii/,wp动归套路,"October 12, 2023 2:56 PM","January 1, 2023 11:53 AM",,Target Sum (LeetCode%2049e0dbff6672498c8c602b2f51ab5d85/Target%20Sum%208a85def49fcf426f820e294f30d67c62.csv)
1055,Shortest Way to Form String,Medium,Medium,,"2pt_SameDir_diffSpeed, Greedy",https://leetcode.com/problems/shortest-way-to-form-string/,googleFreq,"October 12, 2023 2:56 PM","October 24, 2022 1:06 AM",,
1086,High Five,Easy,Pass,,"PQ, TopK",https://leetcode.com/problems/high-five/,"jiuzhang, 算初Hash&Heap","October 21, 2023 4:04 PM","August 11, 2022 7:19 PM",1,
1088,Confusing Number II,Hard,High,toSummarize,"BackTracking, Math",https://leetcode.com/problems/confusing-number-ii/,googleFreq,"October 12, 2023 2:56 PM","October 10, 2022 2:07 AM",,
1092,Shortest Common Supersequence,Hard,Low,More Solution,dp-TwoSeq,https://leetcode.com/problems/shortest-common-supersequence/,"HuaHua, wp动归套路","October 12, 2023 2:56 PM","November 20, 2022 7:29 PM",,
1101,The Earliest Moment When Everyone Become Friends,Medium,Pass,,Union Find,https://leetcode.com/problems/the-earliest-moment-when-everyone-become-friends/,googleFreq,"October 12, 2023 2:56 PM","October 23, 2022 10:18 PM",,
1105,Filling Bookcase Shelves,Medium,High,"HardToImplement, More Solution","DP, dp-TimeSeqFromLastX",https://leetcode.com/problems/filling-bookcase-shelves/,"HuaHua, wp动归套路","October 12, 2023 2:56 PM","October 30, 2022 8:39 PM",,
1125,Smallest Sufficient Team,Hard,High,Dig More,"BitMask, dp-backpack, dp-bitMask",https://leetcode.com/problems/smallest-sufficient-team/,"HuaHua, leetcode_daily, wp动归套路","October 12, 2023 2:56 PM","January 12, 2023 6:37 PM",,
1143,Longest Common Subsequence,Medium,Medium,,"StringMatchToMatrix, dp-TwoSeq",https://leetcode.com/problems/longest-common-subsequence/,"AmazonFreq, LC_75, jiuzhang, wp动归套路, 算高DP下","November 12, 2023 10:40 PM","September 15, 2022 8:03 PM",1,
1186,Maximum Subarray Sum with One Deletion,Medium,Medium,,"DP, dp-TimeSeqFromLastOne-Power, stateMachine",https://leetcode.com/problems/maximum-subarray-sum-with-one-deletion/,wp动归套路,"October 12, 2023 2:56 PM","November 19, 2022 11:24 PM",,
1216,Valid Palindrome III,Hard,Low,dup,dp-TwoSeq,https://leetcode.com/problems/valid-palindrome-iii/,wp动归套路,"October 28, 2023 12:48 AM","November 21, 2022 10:53 AM",,"Longest Palindromic Substring (LeetCode%2049e0dbff6672498c8c602b2f51ab5d85/Longest%20Palindromic%20Substring%20ea1a3cc3811747edba0fc9d58fe1d494.csv), Longest Palindromic Subsequence (LeetCode%2049e0dbff6672498c8c602b2f51ab5d85/Longest%20Palindromic%20Subsequence%2084aa3d867a9e4aca9510bdf16a0cbf4c.csv), Minimum Number of Groups to Create a Valid Assignment (LeetCode%2049e0dbff6672498c8c602b2f51ab5d85/Minimum%20Number%20of%20Groups%20to%20Create%20a%20Valid%20Assignm%202ffa5feedc98428d97bda3bf5b4eca00.csv)"
1246,Palindrome Removal,Hard,High,Dig More,dp-Pyr,https://leetcode.com/problems/palindrome-removal/,wp动归套路,"October 12, 2023 2:56 PM","December 18, 2022 11:48 PM",,
1278,Palindrome Partitioning III,Hard,High,Dig More,"dp-K_Ranges, string",https://leetcode.com/problems/palindrome-partitioning-iii/,"HuaHua, wp动归套路","October 12, 2023 2:56 PM","December 1, 2022 3:54 PM",,
1289,Minimum Falling Path Sum II,Hard,Low,,"DP, Matrix, dp-TimeSeqFromLastOne-Power",https://leetcode.com/problems/minimum-falling-path-sum-ii/,,"October 12, 2023 2:56 PM","November 19, 2022 10:53 PM",,
1293,https://leetcode.com/problems/shortest-path-in-a-grid-with-obstacles-elimination/,Hard,High,"Dig More, More Solution, Next Up","BFS, Matrix",https://leetcode.com/problems/shortest-path-in-a-grid-with-obstacles-elimination/solution/,"googleFreq, ticktokFreq","November 17, 2023 1:59 AM","October 2, 2022 5:33 PM",1,
1312,Minimum Insertion Steps to Make a String Palindrome,Hard,Low,dup,dp-TwoSeq,https://leetcode.com/problems/minimum-insertion-steps-to-make-a-string-palindrome/,"HuaHua, wp动归套路","October 12, 2023 2:56 PM","November 21, 2022 11:25 AM",,Longest Palindromic Substring (LeetCode%2049e0dbff6672498c8c602b2f51ab5d85/Longest%20Palindromic%20Substring%20ea1a3cc3811747edba0fc9d58fe1d494.csv)
1335,Minimum Difficulty of a Job Schedule,Hard,Medium,,dp-K_Ranges,https://leetcode.com/problems/minimum-difficulty-of-a-job-schedule/,wp动归套路,"October 12, 2023 2:56 PM","December 11, 2022 3:03 PM",,
1349,Maximum Students Taking Exam,Hard,High,Dig More,"dp-TimeSeqFromLastOne-Power, dp-bitMask",https://leetcode.com/problems/maximum-students-taking-exam/,"HuaHua, wp动归套路","October 12, 2023 2:56 PM","January 14, 2023 5:03 PM",,
1606,Find Servers That Handled Most Number of Requests,Hard,High,"Dig More, HardToImplement, More Solution, No Idea At First","OrderSet, PQ",https://leetcode.com/problems/find-servers-that-handled-most-number-of-requests/,"HuaHua, googleFreq","October 12, 2023 2:56 PM","October 8, 2022 9:50 PM",,
1610,Maximum Number of Visible Points,Hard,Low,,"2pt_SameDir_maxWin_chkValidAftR, Geometry, Math, Sliding Window, circle",https://leetcode.com/problems/maximum-number-of-visible-points/,"HuaHua, googleFreq","October 12, 2023 2:56 PM","October 3, 2022 11:44 PM",,
1926,Nearest Exit from Entrance in Maze,Medium,Pass,,"BFS, Graph, Matrix",https://leetcode.com/problems/nearest-exit-from-entrance-in-maze/,"LC_75, googleFreq","October 12, 2023 2:56 PM","October 23, 2022 12:22 AM",,
1937,Maximum Number of Points with Cost,Medium,High,No Idea At First,"DP, Matrix",https://leetcode.com/problems/maximum-number-of-points-with-cost/,googleFreq,"October 12, 2023 2:56 PM","October 24, 2022 2:26 PM",,
2013,Detect Squares,Medium,Low,,Hash,https://leetcode.com/problems/detect-squares/,googleFreq,"October 12, 2023 2:56 PM","October 24, 2022 12:52 PM",,
2034,Stock Price Fluctuation,Medium,Pass,More Solution,"OrderMap, OrderSet",https://leetcode.com/problems/stock-price-fluctuation/,googleFreq,"October 12, 2023 2:56 PM","October 2, 2022 10:57 PM",,
2040,Kth Smallest Product of Two Sorted Arrays,Hard,High,"More Solution, No Idea At First, toRevisit","2pt_SameDir_diffSpeed, BS_Idx, BS_Val, BS_lower_upper_bound, kth",https://leetcode.com/problems/kth-smallest-product-of-two-sorted-arrays/,"jiuzhang, 算高TwoPointers&PQ","October 22, 2023 7:06 PM","August 22, 2022 1:16 AM",1,
2096,Step-By-Step Directions From a Binary Tree Node to Anothe,Medium,Medium,,"Divide and Conquer, Tree",https://leetcode.com/problems/step-by-step-directions-from-a-binary-tree-node-to-another/,googleFreq,"October 12, 2023 2:56 PM","October 1, 2022 1:25 AM",,
2115,Find All Possible Recipes from Given Supplies,Medium,Low,,"Graph, TopSorting",https://leetcode.com/problems/find-all-possible-recipes-from-given-supplies/,googleFreq,"October 12, 2023 2:56 PM","October 23, 2022 10:09 PM",,
2149,Rearrange Array Elements by Sign,Medium,Medium,More Solution,"2pt_SameDir_diffSpeed, Partition",https://leetcode.com/problems/rearrange-array-elements-by-sign/,"jiuzhang, 算初TwoPointers","October 19, 2023 10:05 PM","August 9, 2022 11:50 AM",1,[lint] Interleaving Positive and Negative Numbers (LeetCode%2049e0dbff6672498c8c602b2f51ab5d85/%5Blint%5D%20Interleaving%20Positive%20and%20Negative%20Numbers%20c7ee3b8b56ec4225a342476e158ffc54.csv)
2158,Amount of New Area Painted Each Day,Hard,High,"Dig More, More Solution, No Idea At First","PQ, SegmentTree_idx, Sweep-Line",https://leetcode.com/problems/amount-of-new-area-painted-each-day/,googleFreq,"October 12, 2023 2:56 PM","October 2, 2022 2:39 PM",,
2162,Minimum Cost to Set Cooking Time,Medium,Low,,Math,https://leetcode.com/problems/minimum-cost-to-set-cooking-time/,googleFreq,"October 12, 2023 2:56 PM","October 30, 2022 3:12 PM",,
2172,Maximum AND Sum of Array,Hard,High,"No Idea At First, toSummarize","Bit Manipulation, dp-bitMask, two_divided_graph",https://leetcode.com/problems/maximum-and-sum-of-array/,googleFreq,"October 12, 2023 2:56 PM","October 9, 2022 3:08 PM",,
655,Print Binary Tree,Medium,Low,,"BFS, DFS, Divide and Conquer, Tree",https://leetcode.com/problems/print-binary-tree/,"HuaHua, leetcode_daily","October 12, 2023 2:56 PM","May 24, 2023 2:05 AM",,
2242,Maximum Score of a Node Sequence,Hard,High,"No Idea At First, toSummarize","Graph, Greedy, OrderSet, PQ, Sort, TopK",https://leetcode.com/problems/maximum-score-of-a-node-sequence/,googleFreq,"October 12, 2023 2:56 PM","October 7, 2022 10:30 PM",,
2276,Count Integers in Intervals,Hard,Medium,More Solution,"BS_lower_upper_bound, OrderMap, SegmentTree_idx",https://leetcode.com/problems/count-integers-in-intervals/,googleFreq,"October 12, 2023 2:56 PM","October 6, 2022 2:01 AM",,
2291,Maximum Profit From Trading Stocks,Medium,Medium,More Solution,"DP, dp-backpack",https://leetcode.com/problems/maximum-profit-from-trading-stocks/,,"October 12, 2023 2:56 PM","September 29, 2022 12:16 PM",,
2416,Sum of Prefix Scores of Strings,Hard,Medium,In Progress,"Trie, string",https://leetcode.com/problems/sum-of-prefix-scores-of-strings/,"HuaHua, googleFreq","October 12, 2023 2:56 PM","October 30, 2022 3:52 PM",,
2421,Number of Good Paths,Hard,High,More Solution,"DFS, Graph, Tree, Union Find",https://leetcode.com/problems/number-of-good-paths/,googleFreq,"October 12, 2023 2:56 PM","October 23, 2022 5:40 PM",,
11,Container With Most Water,Medium,High,"No Idea At First, toSummarize","2pt, Array, Greedy",https://leetcode.com/problems/container-with-most-water/,"HuaHua, LC_75, LC_Top_Interview_150, wisdompeak","October 12, 2023 2:56 PM","May 12, 2023 2:18 AM",,
259,3Sum Smaller,,,new,2pt,https://leetcode.com/problems/3sum-smaller/,wisdompeak,"October 12, 2023 2:56 PM","May 12, 2023 2:38 AM",,
2422,Merge Operations to Turn Array Into a Palindrome,Medium,Medium,checkBetterSolution,"2pt, Array, Greedy",https://leetcode.com/problems/merge-operations-to-turn-array-into-a-palindrome,"AmazonFreq, wisdompeak, wp-2pt","November 17, 2023 1:26 AM","May 12, 2023 2:44 AM",1,
2354,Number of Excellent Pairs,Hard,High,"Dig More, More Solution","2pt_DiffDir, Array, BS_todo, Bit Manipulation, Hash, Math",https://leetcode.com/problems/number-of-excellent-pairs/,"wisdompeak, wp-2pt","October 14, 2023 12:34 AM","May 12, 2023 2:44 AM",1,
1989,Maximum Number of People That Can Be Caught in Tag,,,new,2pt,,"wisdompeak, wp-2pt","October 12, 2023 8:00 PM","May 12, 2023 2:43 AM",,
1793,Maximum Score of a Good Subarra,Hard,High,"More Solution, No Idea At First, toRevisit","2pt, Array, BS_Idx, Greedy, monotonic, stack",https://leetcode.com/problems/maximum-score-of-a-good-subarray/,"leetcode_daily, wisdompeak","October 22, 2023 5:40 PM","May 12, 2023 2:43 AM",,Largest Rectangle in Histogram (LeetCode%2049e0dbff6672498c8c602b2f51ab5d85/Largest%20Rectangle%20in%20Histogram%20ac2ea76b0a0645e1b28ad0283e4f7fee.csv)
1687,Delivering Boxes from Storage to Ports,,,new,2pt,,wisdompeak,"October 12, 2023 2:56 PM","May 12, 2023 2:43 AM",,
1580,Put Boxes Into the Warehouse II,,,new,2pt,,wisdompeak,"October 12, 2023 2:56 PM","May 12, 2023 2:43 AM",,
1574,Shortest Subarray to be Removed to Make Array Sorted,,,new,2pt,,wisdompeak,"October 12, 2023 2:56 PM","May 12, 2023 2:43 AM",,
1498,Number of Subsequences That Satisfy the Given Sum Condition,,,new,2pt,,wisdompeak,"October 12, 2023 2:56 PM","May 12, 2023 2:43 AM",,
1234,Replace the Substring for Balanced String,,,new,2pt,,wisdompeak,"October 12, 2023 2:56 PM","May 12, 2023 2:43 AM",,
923,3Sum With Multiplicity,Medium,Low,More Solution,"2pt, Array, Counting, Hash, Math, Sort",https://leetcode.com/problems/3sum-with-multiplicity/,"HuaHua, wisdompeak","October 12, 2023 2:56 PM","May 12, 2023 2:43 AM",,
713,Subarray Product Less Than K,Medium,Medium,toSummarize,"2pt_SameDir_maxWin_chkValidAftR, Array","Given an array of integers nums and an integer k, return the number of contiguous subarrays where the product of all the elements in the subarray is strictly less than k.","facebookFreq, wisdompeak","December 8, 2023 6:57 PM","May 12, 2023 2:43 AM",,
360,Sort Transformed Array,,,new,2pt,,wisdompeak,"October 12, 2023 2:56 PM","May 12, 2023 2:43 AM",,
30,Substring with Concatenation of All Words,Hard,High,"Dig More, No Idea At First, toSummarize","2pt_SameDir_sameSpeed, Hash, Sliding Window, string",https://leetcode.com/problems/substring-with-concatenation-of-all-words/,"LC_Top_Interview_150, wisdompeak","October 12, 2023 2:56 PM","May 12, 2023 2:40 AM",,
887,Super Egg Drop,Hard,High,"No Idea At First, NotUnderstand, noPatten, out of scope, toRevisit","BS_todo, dp-noPattern",https://leetcode.com/problems/super-egg-drop/,"HuaHua, wp动归套路","October 17, 2023 6:24 PM","May 19, 2023 12:25 PM",,
920,Number of Music Playlists,Hard,High,"Dig More, More Solution, No Idea At First, noPatten","Combinatorics, Math, dp-noPattern",https://leetcode.com/problems/number-of-music-playlists/,"leetcode_daily, wp动归套路","October 12, 2023 2:56 PM","May 19, 2023 12:25 PM",,
1866,Number of Ways to Rearrange Sticks With K Sticks Visible,Hard,High,"Dig More, In Progress, No Idea At First, out of scope","Permutation, dp-TimeSeqFromLastOne-Power",https://leetcode.com/problems/number-of-ways-to-rearrange-sticks-with-k-sticks-visible/,wp动归套路,"October 12, 2023 2:56 PM","May 15, 2023 3:48 PM",,
2696,Minimum String Length After Removing Substrings,Easy,Medium,No Idea At First,"stack, string",https://leetcode.com/problems/minimum-string-length-after-removing-substrings/,LC_Contests,"October 12, 2023 2:56 PM","May 21, 2023 10:53 AM",,
2697,Lexicographically Smallest Palindrome,Easy,Pass,,string,https://leetcode.com/problems/lexicographically-smallest-palindrome/,LC_Contests,"October 12, 2023 2:56 PM","May 21, 2023 10:54 AM",,
2698,Find the Punishment Number of an Integer,Medium,Low,,DFS,https://leetcode.com/problems/find-the-punishment-number-of-an-integer/,LC_Contests,"October 12, 2023 2:56 PM","May 21, 2023 10:55 AM",,
2699,Modify Graph Edge Weights,Hard,High,"Dig More, More Solution, No Idea At First","Dijkstra, Graph, Greedy",https://leetcode.com/problems/modify-graph-edge-weights/,LC_Contests,"October 12, 2023 2:56 PM","May 21, 2023 10:59 AM",,
347,Top K Frequent Elements,Medium,Low,More Solution,"Hash, PQ, QuickSelect, TopK",https://leetcode.com/problems/top-k-frequent-words/,"HuaHua, leetcode_daily","October 12, 2023 2:56 PM","May 22, 2023 11:59 AM",,
703,Kth Largest Element in a Stream,Easy,Pass,,PQ,https://leetcode.com/problems/kth-largest-element-in-a-stream/,leetcode_daily,"October 12, 2023 2:56 PM","May 23, 2023 3:40 PM",,
253,Meeting Rooms II,Medium,Low,,Sweep-Line,https://leetcode.com/problems/meeting-rooms-ii/,"leetcode_daily, ticktokFreq","November 17, 2023 1:31 AM","May 23, 2023 3:49 PM",1,
265,Paint House II,Hard,Low,,"dp-TimeSeqFromLastOne-Power, stateMachine",https://leetcode.com/problems/paint-house-ii/,leetcode_daily,"October 12, 2023 2:56 PM","May 23, 2023 4:10 PM",,Dice Roll Simulation (LeetCode%2049e0dbff6672498c8c602b2f51ab5d85/Dice%20Roll%20Simulation%20b60a21b3011943b6b8dec4a34dd31f4d.csv)
934,Shortest Bridge,Medium,Low,,"BFS, Matrix",https://leetcode.com/problems/shortest-bridge/,"HuaHua, leetcode_daily","October 12, 2023 2:56 PM","May 23, 2023 4:25 PM",,
2542,Maximum Subsequence Score,Medium,High,,"Array, Greedy, PQ, Sort",https://leetcode.com/problems/maximum-subsequence-score/,"LC_75, leetcode_daily","October 12, 2023 2:56 PM","May 24, 2023 7:08 PM",,
837,New 21 Game,Medium,High,"Dig More, More Solution","DP, Probability, Sliding Window",https://leetcode.com/problems/new-21-game/,leetcode_daily,"October 12, 2023 2:56 PM","May 25, 2023 12:30 AM",,
,,,,,,,,"December 3, 2023 4:35 PM","December 3, 2023 4:35 PM",,
,1331,,,,,,,"December 3, 2023 4:35 PM","December 3, 2023 4:35 PM",,
624,Maximum Distance in Arrays,Medium,Medium,"More Solution, toSummarize","Array, Greedy, Prefix",https://leetcode.com/problems/maximum-distance-in-arrays/,LC_Premium_Algo_100,"November 21, 2023 5:07 PM","May 25, 2023 12:57 AM",,
1140,Stone Game II,Medium,High,"More Solution, toRevisit","DP, Game",https://leetcode.com/problems/stone-game-ii/,"HuaHua, leetcode_daily","October 12, 2023 2:56 PM","May 25, 2023 10:08 PM",,
80,Remove Duplicates from Sorted Array II,Medium,High,"Dig More, No Idea At First","2pt, Array",https://leetcode.com/problems/remove-duplicates-from-sorted-array-ii/,"LC_Top_Interview_150, wisdompeak","October 12, 2023 2:56 PM","May 25, 2023 10:27 PM",,
27,Remove Element,Easy,Pass,,Array,https://leetcode.com/problems/remove-element/,LC_Top_Interview_150,"October 12, 2023 2:56 PM","May 25, 2023 10:38 PM",,
